year,title,core_level,mode,task,control_axis,control_signal,flexibility,venue,pdf
2021,Semantic Communication With Adaptive Universal Transformer,相关核心,模拟式文本 SemCom,文本语义传输 / 机器翻译式句子恢复,语义复杂度与信道条件共同驱动的 adaptive circulation,句子语义差异、SNR、训练中的停止概率 / remainder,主要不是改变物理 payload 长度，而是改变 Transformer 循环计算深度；它是“可控 SemCom”的早期形态，说明固定网络深度无法同等处理所有句子。,"IEEE Wireless Communications Letters, 2022; arXiv preprint posted in 2021",papers/2021_Zhou_Semantic_Communication_With_Adaptive_Universal_Transformer.pdf
2022,Adaptive Bit Rate Control in Semantic Communication With Incremental Knowledge-Based HARQ,核心,数字式文本 SemCom,文本语义传输，带 HARQ 的渐进语义补充,句子级 bit rate 与增量重传次数,信道条件、语义恢复反馈、策略网络输出的编码 bit 长度,同一句文本不是固定映射成固定 bit 长度；系统可先发较短语义编码，失败或语义不足时再通过 IK-HARQ 发增量知识。,"IEEE Open Journal of the Communications Society, 2022",papers/2022_Zhou_Adaptive_Bit_Rate_Control_IK_HARQ.pdf
2022,Deep Joint Source-Channel Coding for Wireless Image Transmission With Adaptive Rate Control,核心,模拟式图像 DeepJSCC,无线图像传输,每幅图像的 channel use / compression ratio,图像内容与 SNR，经 policy network 产生掩码或 rate decision,单一模型支持多码率，并能根据输入图像和信道条件动态选择发送多少 latent channel。,"IEEE ICASSP, 2022",papers/2022_Yang_DeepJSCC_Adaptive_Rate_Control.pdf
2022,Nonlinear Transform Source-Channel Coding for Semantic Communications,核心,模拟式/混合式 NTSCC,图像语义传输,基于 latent 熵的 patch-wise variable-length / adaptive bandwidth,latent 条件熵、hyperprior、目标 rate-distortion 权重,不是把每个图像块映射成等长 channel symbols，而是用熵模型判断哪些 latent 需要更多带宽。,"IEEE Journal on Selected Areas in Communications, 2022",papers/2022_Dai_NTSCC_Semantic_Communications.pdf
2022,Channel-Adaptive Wireless Image Transmission With OFDM,相关核心,模拟式 OFDM DeepJSCC,OFDM 无线图像传输,子载波 CSI 与噪声条件下的特征映射和功率/重要性分配,CSI、SNR/noise level、latent feature,符号数通常由给定 CBR 决定，但不同子载波和信道状态下发送特征的映射与权重会变；属于 channel-condition controllable。,"IEEE Wireless Communications Letters, 2022",papers/2022_Wu_Channel_Adaptive_Wireless_Image_Transmission_OFDM.pdf
2023,WITT: A Wireless Image Transmission Transformer for Semantic Communications,相关核心,模拟式 Transformer JSCC,无线图像传输,SNR / CSI 条件下的 spatial modulation 与 latent scaling,信道状态信息、SNR、图像 patch/token 表示,一套 Transformer 模型可适配不同分辨率和信道状态；payload 长度通常由配置固定，但 latent 内容和强度随信道控制。,"IEEE ICASSP, 2023",papers/2023_Yang_WITT_Wireless_Image_Transmission_Transformer.pdf
2023,Semantic Communications With Variable-Length Coding for Extended Reality,核心,数字/语义信道编码，XR,扩展现实 XR 内容语义传输,语义内容与噪声容忍度驱动的 variable-length semantic-channel coding,源内容语义量、对信道噪声的容忍度、rate allocation network 输出,明确提出每个语义样本的 code length 可变；语义少或容错强的内容用短码，语义复杂/敏感的内容用长码。,"IEEE Journal of Selected Topics in Signal Processing, 2023",papers/2023_Zhang_Variable_Length_Coding_Extended_Reality.pdf
2023,Toward Adaptive Semantic Communications: Efficient Data Transmission via Online Learned Nonlinear Transform Source-Channel Coding,核心,模拟式 online-adaptive NTSCC,图像传输,面向单个源样本和当前信道的在线自适应,待传图像、当前信道状态、在线优化后的 codec / representation,不只在离线阶段给定几个 rate；部署时可针对当前图像和信道在线微调表示或编解码器，实现 instance-wise adaptation。,"IEEE Journal on Selected Areas in Communications, 2023",papers/2023_Dai_Toward_Adaptive_Semantic_Communications_Online_NTSCC.pdf
2023,Improved Nonlinear Transform Source-Channel Coding to Catalyze Semantic Communications,核心,模拟式 enhanced NTSCC,图像传输,contextual entropy、rate/channel response network 与 latent feature editing,contextual entropy、目标 CBR、SNR/channel state,同一模型通过响应网络处理多 rate 和多 channel state；latent feature 可被在线编辑以满足不同传输条件。,"IEEE Journal of Selected Topics in Signal Processing, 2023",papers/2023_Wang_Improved_NTSCC_Catalyze_Semantic_Communications.pdf
2023,DeepJSCC-l++: Robust and Bandwidth-Adaptive Wireless Image Transmission,核心,模拟式 bandwidth-adaptive DeepJSCC,图像传输,目标 bandwidth ratio 与 SNR 作为 side information,target bandwidth ratio、SNR、图像内容,一个 ViT/DeepJSCC-l++ 模型覆盖多带宽和多 SNR，无需为每个 bandwidth ratio 单独训练。,"IEEE GLOBECOM, 2023",papers/2023_Bian_DeepJSCC_lpp_Bandwidth_Adaptive.pdf
2023,Deep Joint Source-Channel Coding for Wireless Image Transmission With Entropy-Aware Adaptive Rate Control,核心,模拟式 entropy-aware DeepJSCC,无线图像传输,feature-map entropy 与 SNR 驱动的二级 pruning,feature maps、2D entropy、SNR，两个 policy network 输出 mask/pruning ratio,发送端先选 feature map，再裁剪每个 feature map 内的符号；实际发送符号数随图像内容和 SNR 改变。,"IEEE GLOBECOM, 2023",papers/2023_Chen_Entropy_Aware_Adaptive_Rate_Control_DeepJSCC.pdf
2023,Predictive and Adaptive Deep Coding for Wireless Image Transmission in Semantic Communication,核心,模拟式 predictive/adaptive DeepJSCC,无线图像传输,目标质量约束下的 compression ratio 选择,图像内容、SNR、候选 compression ratio、目标 PSNR/quality,对每个图像和信道条件选择满足目标质量的最小 CR，而不是固定符号数。,"IEEE Transactions on Wireless Communications, 2023",papers/2023_Zhang_Predictive_Adaptive_Deep_Coding_PADC.pdf
2024,SCAN: Semantic Communication With Adaptive Channel Feedback,核心,模拟式 MIMO SemCom,MIMO 图像语义传输 / CSI feedback,每幅图像的 channel feedback overhead,预测重建质量、semantic distortion outage probability、CSI/noise,不是所有样本都反馈同样长度 CSI；预测质量差或语义失真风险高时分配更长反馈，质量易满足时减少反馈。,"IEEE Transactions on Cognitive Communications and Networking, 2024",papers/2024_Zhang_SCAN_Adaptive_Channel_Feedback.pdf
2024,Deep Joint Source-Channel Coding for Adaptive Image Transmission Over MIMO Channels,相关核心,模拟式 MIMO DeepJSCC,MIMO 图像传输,MIMO channel matrix、SNR、天线数驱动的 feature mapping/power allocation,CSI、SNR、antenna configuration、图像 latent,同一 ViT/DeepJSCC-MIMO 模型适配不同信道和天线配置；主要控制 mapping 和功率，而非任意改变 payload 长度。,"IEEE Transactions on Wireless Communications, 2024",papers/2024_Wu_DeepJSCC_MIMO_Adaptive_Image_Transmission.pdf
2024,Rate-Adaptive Coding Mechanism for Semantic Communications With Multi-Modal Data,边界核心,数字/多模态 SemCom,多模态任务语义传输,模态重要性与任务敏感度驱动的 rate-adaptive coding / UEP,模态噪声敏感度、任务性能、语义重要性,不同模态、不同样本可获得不同编码保护和传输率；不是一刀切地固定每个模态 payload。,"IEEE Transactions on Communications, 2024",papers/Rate-Adaptive_Coding_Mechanism_for_Semantic_Communications_With_Multi-Modal_Data.pdf
2025,Rate-Distortion-Perception Controllable Joint Source-Channel Coding for High-Fidelity Generative Semantic Communications,核心,生成式模拟 JSCC,高保真图像语义传输 / 生成式重建,rate-distortion-perception 三目标与 ROI/content 控制,RDP preference、realism map、用户兴趣/注意区域、信道条件,同一系统可改变传输侧对失真、感知真实度和重点内容的优先级，CCT 可把更多资源给兴趣区域。,"IEEE Transactions on Cognitive Communications and Networking, 2025",papers/2025_Tan_RDP_Controllable_JSCC_Generative_Semantic.pdf
2025,Rate-Adaptive Generative Semantic Communication Using Conditional Diffusion Models,核心,生成式 rate-adaptive SemCom,图像语义传输 / diffusion 重建,熵模型估计 transmitted symbols 的信息量并管理带宽,symbol entropy、target rate、信道条件、diffusion conditioning,根据语义 symbol 的熵和目标带宽选择发送量，decoder 用条件扩散模型补全细节。,"IEEE Wireless Communications Letters, 2025",papers/2025_Yang_Rate_Adaptive_Generative_Semantic_Communication_Diffusion.pdf
2025,Hybrid Digital-Analog Semantic Communications,核心,混合数字-模拟 SemCom,图像/多媒体语义传输,digital stream 与 analog stream 的分配和融合,rate/distortion loss、信道状态、语义特征重要性,系统可在数字 bitstream 和模拟 semantic latent 之间调整承载比例；不是固定只走 analog 或 digital。,"IEEE Journal on Selected Areas in Communications, 2025",papers/2025_Xie_Hybrid_Digital_Analog_Semantic_Communications.pdf
2025,Progressive Learned Image Transmission for Semantic Communication Using Hierarchical VAE,核心,生成式/渐进式 SemCom,图像渐进传输,层级 latent groups 的 coarse-to-fine progressive transmission,层级 VAE latent、目标质量、可用带宽/信道条件,可先发送粗层语义 latent，再按需要发送细层 latent；传输可以随时停止或继续增强。,"IEEE Transactions on Cognitive Communications and Networking, 2025",papers/2025_Zhang_Progressive_Learned_Image_Transmission_Hierarchical_VAE.pdf
2025,DD-JSCC: Dynamic Deep Joint Source-Channel Coding for Semantic Communications,相关核心,模拟式 dynamic DeepJSCC,图像语义传输,动态网络/动态传输路径以适配异构 SNR,信道 SNR、编码器效率、接收端均衡/解码状态,强调 heterogeneous SNR 下 encoder 与 receiver-side equalization 的动态配合；payload 控制证据弱于 PADC/entropy-aware 系列。,"IEEE Wireless Communications Letters, 2026; arXiv preprint in 2025",papers/2025_DD_JSCC_Dynamic_Deep_JSCC.pdf
2025,Entropy-and-Channel-Aware Adaptive-Rate Semantic Communication With MLLM-Aided Feature Compensation,核心,模拟式 MIMO adaptive-rate SemCom,MIMO Rayleigh 图像语义传输,feature map selection + symbol pruning 的双层 rate control,CSI、SNR、feature maps、每个 feature map 的 2D entropy,两级 policy network 同时决定保留哪些 feature maps 和每个样本内保留多少 symbols，CR 可在给定上限范围内连续变化。,"arXiv preprint, 2025",papers/2025_Entropy_Channel_Aware_Adaptive_Rate_Semantic_Communication.pdf
2025,Rate-Adaptive Semantic Communication via Multi-Stage Vector Quantization,核心,数字式 MSVQ SemCom,图像语义重建,按 rate 激活不同数量的 VQ stages / codebooks,bit budget、stage-wise residual energy/semantic utility、entropy coding,低码率只发前几级 coarse VQ index，高码率追加 residual stages；离散 payload 长度天然可变。,"arXiv preprint, 2025",papers/2025_Park_Rate_Adaptive_Semantic_Communication_MSVQ.pdf
2025,Digital Semantic Communications With Variable Product Quantization for Image Transmission,核心,数字式 VPQ SemCom,图像传输,product quantization 子空间/码本数量可变,目标码率、图像 latent 结构、PQ codebooks,通过改变启用的 product codebook / 子向量组合，生成不同长度的离散 index 序列。,"IEEE WCNC, 2025",papers/Digital_Semantic_Communications_with_Variable_Product_Quantization_for_Image_Transmission.pdf
2025,Fully Learnable Multi-Rate Quantization for Digital Semantic Communication Systems,核心,数字式 learnable multi-rate quantization,图像传输,learnable quantization levels / multi-rate bitstream,目标 rate、Concrete categorical variables、训练中的离散化松弛,同一量化模型生成不同 bit-depth/rate 的离散表示，避免为每个 rate 单独训练量化器。,"IEEE Wireless Communications Letters, 2025",papers/Fully_Learnable_Multi-Rate_Quantization_for_Digital_Semantic_Communication_Systems.pdf
2025,Conditional Entropy-Constrained Multi-Stage Vector Quantization for Semantic Communication,核心,数字式 entropy-constrained MSVQ,图像语义传输 / 重建,条件熵约束下的 stage-wise VQ 与 entropy-coded payload,条件概率模型、stage residual、目标 entropy/rate,发送的 stage 数量和每级 index 的平均码长可按目标 rate 调整。,"IEEE Wireless Communications Letters, 2025/2026",papers/Conditional_Entropy-Constrained_Multi-Stage_Vector_Quantization_for_Semantic_Communication.pdf
2025,Digital-SC: Digital Semantic Communication With Adaptive Network Split and Learned Non-Linear Quantization,核心,数字式 split-computing SemCom,device-edge 图像分类 / 协同推理,网络切分点、特征通道剪枝、非线性量化 bit-depth,设备/边缘算力、BER、任务精度需求、feature statistics,可在不同层切分并对中间特征使用不同剪枝和量化配置；实际发送的中间特征大小可变。,"IEEE Transactions on Cognitive Communications and Networking, 2025",papers/Digital-SC_Digital_Semantic_Communication_With_Adaptive_Network_Split_and_Learned_Non-Linear_Quantization.pdf
2025,Joint Source-Channel Coding for Channel-Adaptive Digital Semantic Communications,核心,数字式 channel-adaptive DSC,图像分类、重建、检索,离散信道条件下的 channel-adaptive source-channel representation,信道 error/erasure probability、semantic feature、任务 loss,数字语义表示根据离散信道状态训练/适配；可在不同 error 条件下改变编码保护或 soft representation。,"IEEE Transactions on Cognitive Communications and Networking, 2025",papers/Joint_Source-Channel_Coding_for_Channel-Adaptive_Digital_Semantic_Communications.pdf
2025,Vision Transformer-Based Semantic Communications With Importance-Aware Quantization,核心,数字式 ViT importance-aware quantization,图像分类、多视图分类、单目标检测,ViT patch importance 决定每个 patch 的 quantization level,attention score、目标通信开销、BSC/Rayleigh 错误概率,不同 patch 使用不同 bit-depth；高重要 patch 分配高量化等级，背景或低重要 patch 分配低等级。,"IEEE Internet of Things Journal, 2025",papers/Vision_Transformer-Based_Semantic_Communications_With_Importance-Aware_Quantization.pdf
2025,Semantic Codebook-Based HARQ for Wireless Image Transmission,核心,数字/混合式 semantic codebook HARQ,无线图像传输,基于 semantic codebook 的错误检测与按需重传,received feature 与 codebook 的语义相似度、SNR、反馈 ACK/NACK,只有被判定语义失真的特征或必要增量被重传；高 SNR 或语义相似度足够时减少重传。,"IEEE Transactions on Communications, 2025",papers/Semantic_Codebook-Based_HARQ_for_Wireless_Image_Transmission.pdf
2025,Unequal Error Protection for Digital Semantic Communication With Channel Coding,边界核心,数字式 semantic-aware channel coding,图像传输 / 数字语义 bit 保护,semantic bit importance 驱动的 unequal error protection,语义 bit sensitivity、channel code rate/protection level、信道条件,不同 bit 或 bit groups 使用不同保护强度；重要语义 bit 获得更多冗余，不重要 bit 可少保护。,"arXiv preprint, 2025",papers/2025_Kim_UEP_Digital_Semantic_Communication.pdf
