year,tier,title,doi,task_type,digitalization_class,channel_handling_class,strict_digital,datasets,baselines,metrics,snr_conditions,rate_conditions,discrete_error_judgment,limitations
2023,core,Deep Learning Enabled Semantic Communications With Speech Recognition and Synthesis,10.1109/twc.2023.3240969,语音/音频传输或识别,连续神经 JSCC latent / 实复信道符号,类别 3：连续语义变量直接经过有噪声信道并端到端恢复,否/不适用：主接口为连续 JSCC 或上层模型,,DeepSC；Polar；Transformer；QAM；DeepSC-S；DeepSC-ST；BERT,WER；CER；accuracy；latency,SNR=8 dB,,不适用 VQ index 跳变。论文处理的是连续噪声/衰落；这不能自动证明量化和调制后的数字链路鲁棒性。,主接口仍是连续神经符号；量化、有限星座、同步、信道估计和残余误码未形成完整数字实现。
2023,related,Edge Learning for Large-Scale Internet of Things With Task-Oriented Efficient Communication,10.1109/twc.2023.3271665,任务导向推理,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,MNIST；ModelNet40,ResNet；YOLO,accuracy；MSE；PER,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2023,core,Excess Distortion Exponent Analysis for Semantic-Aware MIMO Communication Systems,10.1109/twc.2023.3238463,语义信息度量与理论,上层理论/资源变量；论文不单独定义可发送语义格式,类别 5：沿用底层链路或抽象速率—效用模型,否/不适用：主接口为连续 JSCC 或上层模型,,JSCC,,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,结果依赖抽象效用曲线、仿真信道和理想状态信息；底层语义 codec、控制信令与有限时延开销常未共同计入。
2023,related,Integrated Sensing-Communication-Computation for Over-the-Air Edge AI Inference,10.1109/twc.2023.3306465,任务导向推理,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,,OFDM,accuracy；latency,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2023,related,Over-the-Air Multi-View Pooling for Distributed Sensing,10.1109/twc.2023.3343086,边缘学习与任务通信,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,ModelNet40；ShapeNet,OFDM；BERT,mAP；accuracy；classification accuracy；latency；MSE；throughput；PER,SNR 6 dB；SNR of 6 dB,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2023,core,Predictive and Adaptive Deep Coding for Wireless Image Transmission in Semantic Communication,10.1109/twc.2023.3234408,图像传输、压缩或生成,连续神经 JSCC latent / 实复信道符号,类别 3：连续语义变量直接经过有噪声信道并端到端恢复,否/不适用：主接口为连续 JSCC 或上层模型,Kodak,DeepJSCC；JPEG2000；JPEG；BPG；LDPC；ADJSCC；JSCC,PSNR；MSE,,,不适用 VQ index 跳变。论文处理的是连续噪声/衰落；这不能自动证明量化和调制后的数字链路鲁棒性。,主接口仍是连续神经符号；量化、有限星座、同步、信道估计和残余误码未形成完整数字实现。
2023,related,Progressive Feature Transmission for Split Classification at the Wireless Edge,10.1109/twc.2022.3221778,任务导向推理,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,MNIST,,mAP；accuracy；classification accuracy；latency；throughput；PER,SNR =4 dB,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2023,core,Robust Semantic Communications With Masked VQ-VAE Enabled Codebook,10.1109/twc.2023.3265201,图像传输、压缩或生成,显式数字语义表示：bit、离散 token 或码本 index,类别 1：形成数字表示，但物理链路按可靠 bitstream 抽象,是：存在明确的离散/有限数字接口,CIFAR-10；ImageNet,JPEG；LDPC；VQ-VAE；VAE；ViT；Transformer；QAM；JSCC；ResNet,mAP；accuracy；classification accuracy；semantic similarity；BER,,,否。论文默认数字码流可靠到达，未评估 bit flip、熵码失同步或 packet loss 对语义变量的影响。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
2023,core,Semantic-Aware Sensing Information Transmission for Metaverse: A Contest Theoretic Approach,10.1109/twc.2022.3232565,点云/三维场景传输,上层理论/资源变量；论文不单独定义可发送语义格式,类别 5：沿用底层链路或抽象速率—效用模型,否/不适用：主接口为连续 JSCC 或上层模型,,,accuracy；utility；BER；PER,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,结果依赖抽象效用曲线、仿真信道和理想状态信息；底层语义 codec、控制信令与有限时延开销常未共同计入。
2023,related,Task-Oriented Communication for Multidevice Cooperative Edge Inference,10.1109/twc.2022.3191118,任务导向推理,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,CIFAR-10；ImageNet；MNIST；ModelNet40；Tiny ImageNet,ETC,accuracy；classification accuracy；latency；PER；Rsum,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,全文没有完整闭合语义表示到 bit/symbol/packet 的实现链；残余误码、控制开销和真实射频条件仍是外推风险。
