title,doi,reason
Learning Based Joint Coding-Modulation for Digital Semantic Communication Systems,10.1109/wcsp55476.2022.10039447,"存在同团队、同方法家族且作者高度重合的正式期刊扩展版；按既定口径由期刊版取代：Joint Coding-Modulation for Digital Semantic Communications via Variational Autoencoder (IEEE TCOM, 2024)"
A Superposition Code Approach for Digital Semantic Communications Over Broadcast Channels,10.1109/globecom54140.2023.10437022,"存在同团队、同方法家族且作者高度重合的正式期刊扩展版；按既定口径由期刊版取代：Deep Learning-Based Superposition Coded Modulation for Hierarchical Semantic Communications Over Broadcast Channels (IEEE TCOM, 2024)"
CDDM: Channel Denoising Diffusion Models for Wireless Communications,10.1109/globecom54140.2023.10436728,"存在同团队、同方法家族且作者高度重合的正式期刊扩展版；按既定口径由期刊版取代：CDDM: Channel Denoising Diffusion Models for Wireless Semantic Communications (IEEE TWC, 2024)"
Fusion-Based Multi-User Semantic Communications for Wireless Image Transmission Over Degraded Broadcast Channels,10.1109/globecom54140.2023.10437864,"存在同团队、同方法家族且作者高度重合的正式期刊扩展版；按既定口径由期刊版取代：Multi-User Semantic Fusion for Semantic Communications over Degraded Broadcast Channels (China Communications, 2024)"
Image Semantic Communication over Fading Channel: A Learned Broadcast Approach,10.1109/spawc53906.2023.10304507,"存在同团队、同方法家族且作者高度重合的正式期刊扩展版；按既定口径由期刊版取代：A deep learning based broadcast approach for image semantic communication over fading channels (China Communications, 2024)"
DM-MIMO: Diffusion Models for Robust Semantic Communications over MIMO Channels,10.1109/iccc62479.2024.10681856,"存在同团队、同方法家族且作者高度重合的正式期刊扩展版；按既定口径由期刊版取代：Semantic Communication Over MIMO Channels via Score-Based Reverse Mean Propagation (IEEE TWC, 2026)"
"Federated Edge Learning for 6G: Foundations, Methodologies, and Applications",10.1109/jproc.2024.3509739,全文属于综述、愿景、教程、项目/范式说明或挑战讨论，缺少本次口径要求的独立技术方法与可核验实验；转入背景清单
MambaJSCC: Deep Joint Source-Channel Coding with Visual State Space Model,10.1109/globecom52923.2024.10901192,全文定位为传统/神经联合信源信道编码、Polar/LDPC 或 CSI 反馈研究，未把语义、任务效用或意义保持作为实质研究对象；转入相关背景清单
Distributed Nonlinear Transform Source-Channel Coding for Wireless Correlated Image Transmission,10.1109/iccworkshops67674.2025.11162279,全文定位为传统/神经联合信源信道编码、Polar/LDPC 或 CSI 反馈研究，未把语义、任务效用或意义保持作为实质研究对象；转入相关背景清单
MIMO Semantic Communication via Score-Based Reverse Mean Propagation,10.1109/iccc65529.2025.11149014,"存在同团队、同方法家族且作者高度重合的正式期刊扩展版；按既定口径由期刊版取代：Semantic Communication Over MIMO Channels via Score-Based Reverse Mean Propagation (IEEE TWC, 2026)"
Prompt-based Multimodal Semantic Communication for Multi-spectral Image Segmentation,10.1109/iccc65529.2025.11148605,"存在同团队、同方法家族且作者高度重合的正式期刊扩展版；按既定口径由期刊版取代：ProMSC-MIS: Prompt-Based Multimodal Semantic Communication for Multi-Spectral Image Segmentation (IEEE OJ-COMS, 2025)"
SNR-EQ-JSCC: Joint Source-Channel Coding With SNR-Based Embedding and Query,10.1109/lwc.2025.3526962,全文定位为传统/神经联合信源信道编码、Polar/LDPC 或 CSI 反馈研究，未把语义、任务效用或意义保持作为实质研究对象；转入相关背景清单
