year,tier,title,doi,task_type,digitalization_class,channel_handling_class,strict_digital,datasets,baselines,metrics,snr_conditions,rate_conditions,discrete_error_judgment,limitations
2023,core,Deep Joint Source-Channel Coding for Image Transmission With Visual Protection,10.1109/tccn.2023.3306851,图像传输、压缩或生成,连续神经 JSCC latent / 实复信道符号,类别 3：连续语义变量直接经过有噪声信道并端到端恢复,否/不适用：主接口为连续 JSCC 或上层模型,Kodak；ImageNet；CIFAR-10,JPEG；ResNet；ADJSCC；JSCC；SSCC；ETC,PSNR；SSIM；accuracy；classification accuracy,SNR = 10 dB；SNR=10 dB,,不适用 VQ index/bit 跳变;论文处理的是连续扰动和信道失配。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2023,core,Joint Source-Channel Coding for a Multivariate Gaussian Over a Gaussian MAC Using Variational Domain Adaptation,10.1109/tccn.2023.3294754,通用语义通信系统,连续神经 JSCC latent / 实复信道符号,类别 3：连续语义变量直接经过有噪声信道并端到端恢复,否/不适用：主接口为连续 JSCC 或上层模型,,VAE；JSCC；CLIP,,SNR = 20 dB；SNR = 10 dB；SNR = 30 dB；SNR = 25 dB,,不适用 VQ index/bit 跳变;论文处理的是连续扰动和信道失配。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。 未报告统一可复核的 payload bit 数/CBR,跨论文带宽比较受限。"
2023,core,Neuromorphic Wireless Cognition: Event-Driven Semantic Communications for Remote Inference,10.1109/tccn.2023.3236940,任务导向推理,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,MNIST,LDPC；VAE；VQ-VAE,accuracy；recall；latency；PER,SNR = 10 dB,,未形成可复核的 bit/index/token 错误闭环。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2023,core,Non-Orthogonal Multiple Access Enhanced Multi-User Semantic Communication,10.1109/tccn.2023.3306852,语义信息度量与理论,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,MNIST；Europarl,DeepJSCC；JPEG；LDPC；Turbo；QAM；NOMASC；JSCC；Huffman,PSNR；SSIM；MSE；mAP；accuracy；MACs；BLEU；PER,,,"部分:存在数字接口与信道模型,但若正文只报告 SNR/重建质量而未注入 bit/index error,就不能宣称解决跳变问题。","未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2023,core,Semantics-Native Communication via Contextual Reasoning,10.1109/tccn.2023.3250206,通用语义通信系统,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,,ARQ,accuracy；latency；PER,,,"部分:存在数字接口与信道模型,但若正文只报告 SNR/重建质量而未注入 bit/index error,就不能宣称解决跳变问题。","未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2024,core,Adaptable Semantic Compression and Resource Allocation for Task-Oriented Communications,10.1109/tccn.2023.3346481,任务导向推理,上层理论/资源变量；论文不单独定义可发送语义格式,类别 5：沿用底层链路或抽象速率—效用模型,否/不适用：主接口为连续 JSCC 或上层模型,STL-10,JPEG；LDPC；TCM；ResNet；ASC,accuracy；classification accuracy,SNR = -5 dB,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2024,related,Adaptive Compression Offloading and Resource Allocation for Edge Vision Computing,10.1109/tccn.2024.3400820,语义感知资源分配与网络优化,上层理论/资源变量；论文不单独定义可发送语义格式,类别 5：沿用底层链路或抽象速率—效用模型,否/不适用：主接口为连续 JSCC 或上层模型,ImageNet,JPEG；MobileNet,mAP；accuracy；classification accuracy,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。 该文属于边界谱系,不能用它代表端到端语义通信主线。"
2024,core,Adaptive Modulation and Retransmission Scheme for Semantic Communication Systems,10.1109/tccn.2023.3315386,任务导向推理,显式数字语义表示：bit、离散 token 或码本 index,类别 4：离散 bit/index/packet error 被显式建模或联合训练,是：存在明确的离散/有限数字接口,,LDPC；Huffman,accuracy；classification accuracy；BER；PER,SNR = 0dB；SNR = 20dB,,"是:作者以任务鲁棒概率而非零 BER 为调制选择约束,并在恶劣信道下显式设计重传与合并。",主要局限取决于训练/测试分布、信道假设和系统开销是否完整公开。
2024,core,DeepMA: End-to-End Deep Multiple Access for Wireless Image Transmission in Semantic Communication,10.1109/tccn.2023.3326302,图像传输、压缩或生成,有限星座/标准数字波形接口,类别 2：语义特征映射为调制符号或编码包,是：存在明确的离散/有限数字接口,Kodak；ImageNet；CIFAR10；CIFAR100,JPEG；JPEG2000；BPG；LDPC；DeepMA；ADJSCC；JSCC；OFDM,PSNR；MSE；recall；PER,,,未形成可复核的 bit/index/token 错误闭环。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2024,core,Feature Importance-Aware Task-Oriented Semantic Transmission and Optimization,10.1109/tccn.2024.3375496,任务导向推理,连续神经 JSCC latent / 实复信道符号,类别 3：连续语义变量直接经过有噪声信道并端到端恢复,否/不适用：主接口为连续 JSCC 或上层模型,CIFAR10；CIFAR100,ResNet；PPO；JSCC；CLIP；OFDM,accuracy；QoE；latency；TOSSE,,,不适用 VQ index/bit 跳变;论文处理的是连续扰动和信道失配。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。 未报告统一可复核的 payload bit 数/CBR,跨论文带宽比较受限。"
2024,core,How to Evaluate Semantic Communications for Images With ViTScore Metric?,10.1109/tccn.2024.3392803,语义信息度量与理论,上层理论/资源变量；论文不单独定义可发送语义格式,类别 5：沿用底层链路或抽象速率—效用模型,否/不适用：主接口为连续 JSCC 或上层模型,Kodak；DIV2K；COCO；ImageNet；CelebA；Set5；Set14；Urban100,DeepJSCC；NTSCC；JPEG；JPEG2000；BPG；LDPC；ViT；GAN；VAE；VQ-VAE；ADJSCC；JSCC,PSNR；SSIM；MS-SSIM；LPIPS；mAP；accuracy；recall；BLEU；BERTScore；ViTScore,SNR = 15dB,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2024,core,LaMoSC: Large Language Model-Driven Semantic Communication System for Visual Transmission,10.1109/tccn.2024.3401712,文本传输或语言任务,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,ImageNet；CIFAR-10；ADE20K,DeepJSCC；JPEG；BPG；ViT；JSCC；BERT；BLIP,PSNR；SSIM；MS-SSIM；LPIPS；MSE；mAP；accuracy；latency；semantic similarity,,,不适用 VQ index/bit 跳变;论文处理的是连续扰动和信道失配。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2024,core,SC-PNC: Semantic Communication-Empowered Physical-Layer Network Coding,10.1109/tccn.2024.3375506,图像传输、压缩或生成,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,MNIST,ViT,PSNR；MSE；accuracy；recall；latency；classification accuracy；BER；PER,,,未形成可复核的 bit/index/token 错误闭环。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
2024,core,SCAN: Semantic Communication With Adaptive Channel Feedback,10.1109/tccn.2024.3394867,图像传输、压缩或生成,语义 feature/latent；量化到 bitstream 的接口未完整报告,类别 0：信道作用点不足，或由外部传统链路抽象承担,否/不适用：主接口为连续 JSCC 或上层模型,CIFAR10,DeepSC；ADJSCC；JSCC；OFDM,PSNR；MSE；mAP；accuracy；latency；NMSE；BER,SNR = 6dB；SNR from -16 dB,,未形成可复核的 bit/index/token 错误闭环。,"没有完整离散接口,无法直接回答 bit/index/token 跳变问题。 未显式注入离散误码/丢包,鲁棒性结论不应外推到真实数字链路。"
