year,title,source,venue,task,route,transmission_unit,channel_error_class,pdf
2023,Vector Quantized Semantic Communication System,IEEE,"IEEE Wireless Communications Letters, 2023",图像重建/传输,多尺度 VQ-DeepSC,codebook index / bitstream,2. 数字语义特征加传统信道编码,Vector_Quantized_Semantic_Communication_System.pdf
2023,Robust Semantic Communications With Masked VQ-VAE Enabled Codebook,IEEE,"IEEE Transactions on Wireless Communications, 2023",图像检索/重建与语义噪声鲁棒性,masked VQ-VAE codebook,codebook index / selected semantic tokens,5. 语义噪声与码本鲁棒性机制,Robust_Semantic_Communications_With_Masked_VQ-VAE_Enabled_Codebook.pdf
2022,Learning Based Joint Coding-Modulation for Digital Semantic Communication Systems,IEEE,"IEEE WCSP, 2022",CIFAR-10 图像分类与重建,概率式 joint coding-modulation,BPSK symbol / bit,4. 数字符号与信道联合优化,Learning_Based_Joint_Coding-Modulation_for_Digital_Semantic_Communication_Systems.pdf
2023,Robust Information Bottleneck for Task-Oriented Communication With Digital Modulation,IEEE,"IEEE Journal on Selected Areas in Communications, 2023",任务导向边缘推理/分类,DT-JSCC + robust information bottleneck,discrete representation / PSK symbol,4. 显式建模离散错误并联合优化,Robust_Information_Bottleneck_for_Task-Oriented_Communication_With_Digital_Modulation.pdf
2024,Joint Coding-Modulation for Digital Semantic Communications via Variational Autoencoder,IEEE,"IEEE Transactions on Communications, 2024",图像语义传输/分类与重建,VAE joint coding-modulation,constellation symbol,4. 显式建模离散错误并联合优化,Joint_Coding-Modulation_for_Digital_Semantic_Communications_via_Variational_Autoencoder.pdf
2024,OFDM-Based Digital Semantic Communication With Importance Awareness,IEEE,"IEEE Transactions on Communications, 2024",图像/任务语义传输，OFDM 资源分配,OFDM + semantic importance bit allocation,quantized bit / OFDM symbol,5. 重要性感知资源分配,OFDM-Based_Digital_Semantic_Communication_With_Importance_Awareness.pdf
2025,Digital-SC: Digital Semantic Communication With Adaptive Network Split and Learned Non-Linear Quantization,IEEE,"IEEE Transactions on Cognitive Communications and Networking, 2025",device-edge 协同推理/图像分类,learned non-linear quantization,bit sequence / quantized intermediate feature,2. 数字特征加传统链路,Digital-SC_Digital_Semantic_Communication_With_Adaptive_Network_Split_and_Learned_Non-Linear_Quantization.pdf
2025,From Analog to Digital: Multi-Order Digital Joint Coding-Modulation for Semantic Communication,IEEE,"IEEE Transactions on Communications, 2025",图像语义传输，多阶数字调制,MDJCM,digital constellation symbol,4. 显式建模离散错误并联合优化,From_Analog_to_Digital_Multi-Order_Digital_Joint_Coding-Modulation_for_Semantic_Communication.pdf
2025,Universal Joint Source-Channel Coding for Modulation-Agnostic Semantic Communication,IEEE,"IEEE Journal on Selected Areas in Communications, 2025",图像/任务语义传输，单模型多调制阶数,uJSCC with VQ codebooks,VQ index / modulation symbol,5. 调制自适应与模型复用,Universal_Joint_Source-Channel_Coding_for_Modulation-Agnostic_Semantic_Communication.pdf
2024,D2-JSCC: Digital Deep Joint Source-channel Coding for Semantic Communications,IEEE,"IEEE PIMRC, 2024",图像传输,digital deep source-channel coding,bitstream,2. 数字 bitstream + channel coding,D2-JSCC_Digital_Deep_Joint_Source-channel_Coding_for_Semantic_Communications.pdf
2024,Joint Source-Channel Coding for Robust Digital Semantic Communications,IEEE,"IEEE Globecom, 2024",图像分类/重建,BSEC robust JSCC,bit / erased bit / soft uncertainty,4. 显式建模离散错误并联合优化,Joint_Source-Channel_Coding_for_Robust_Digital_Semantic_Communications.pdf
2025,Joint Source-Channel Coding for Channel-Adaptive Digital Semantic Communications,IEEE,"IEEE Transactions on Cognitive Communications and Networking, 2025",图像分类、重建、检索,BSEC + channel-adaptive modulation,bit / soft-erasure representation,4. 显式建模离散错误并联合优化,Joint_Source-Channel_Coding_for_Channel-Adaptive_Digital_Semantic_Communications.pdf
2025,Blind Training for Channel-Adaptive Digital Semantic Communications,IEEE,"IEEE Transactions on Communications, 2025",图像/视频语义任务的 channel-adaptive 训练框架,blind parallel-BSC training,bit / parallel BSC output,4. 显式建模离散错误并联合优化,Blind_Training_for_Channel-Adaptive_Digital_Semantic_Communications.pdf
2025,MaskDSC: Resilient Digital Semantic Communication with Masked Transformer and Unequal Error Protection,IEEE,"IEEE WCNC, 2025",图像/视觉数据传输,masked Transformer + UEP,token bitstream / packet,5. masked error concealment + UEP,MaskDSC_Resilient_Digital_Semantic_Communication_with_Masked_Transformer_and_Unequal_Error_Protection.pdf
2025,Unequal Error Protection for Digital Semantic Communication with Channel Coding,arXiv,"arXiv / IEEE-oriented preprint, 2025",图像传输/语义 bit 保护,semantic bit UEP,bit,5. semantic-aware channel coding / UEP,2025_Kim_UEP_Digital_Semantic_Communication.pdf
2025,Channel-Aware Vector Quantization for Robust Semantic Communication on Discrete Channels,arXiv,"arXiv, 2025",图像语义重建，离散信道,CAVQ / channel-aware codebook,codebook index / modulation symbol,4. 显式建模离散错误并联合优化,2025_Meng_Channel_Aware_Vector_Quantization.pdf
2026,VQ-DSC-R: Robust Vector Quantized-Enabled Digital Semantic Communication With OFDM Transmission,arXiv,"arXiv, 2026",图像语义传输，OFDM 多径鲁棒,Swin + SQC + ANDVQ + CDM,SQC index / OFDM symbol,4. 显式建模离散错误并联合优化,2026_Chen_VQ_DSC_R_OFDM.pdf
2025,Digital Semantic Communications with Variable Product Quantization for Image Transmission,IEEE,"IEEE WCNC, 2025",图像传输,VPQ-SemCom,PQ sub-index / bitstream,2. PQ 特征加数字链路,Digital_Semantic_Communications_with_Variable_Product_Quantization_for_Image_Transmission.pdf
2025,Fully Learnable Multi-Rate Quantization for Digital Semantic Communication Systems,IEEE,"IEEE Wireless Communications Letters, 2025",图像传输,ConcreteSC,learned quantized bits / concrete categorical variables,4. 显式建模离散错误并联合优化,Fully_Learnable_Multi-Rate_Quantization_for_Digital_Semantic_Communication_Systems.pdf
