title,doi,reason
A Novel Deep Learning Architecture for Wireless Image Transmission,10.1109/globecom46510.2021.9685036,全文定位为传统/神经联合信源信道编码、Polar/LDPC 或 CSI 反馈研究，未把语义、任务效用或意义保持作为实质研究对象；转入相关背景清单
Neural Joint Source-Channel Decoding using Arithmetic Codes,10.1109/gcwkshps52748.2021.9682040,全文定位为传统/神经联合信源信道编码、Polar/LDPC 或 CSI 反馈研究，未把语义、任务效用或意义保持作为实质研究对象；转入相关背景清单
Toward Wisdom-Evolutionary and Primitive-Concise 6G: A New Paradigm of Semantic Communication Networks,10.1016/j.eng.2021.11.003,全文属于综述、愿景、教程、项目/范式说明或挑战讨论，缺少本次口径要求的独立技术方法与可核验实验；转入背景清单
Distributed Image Transmission Using Deep Joint Source-Channel Coding,10.1109/icassp43922.2022.9746268,全文定位为传统/神经联合信源信道编码、Polar/LDPC 或 CSI 反馈研究，未把语义、任务效用或意义保持作为实质研究对象；转入相关背景清单
Distributed Joint Source-Channel Polar Coding,10.1109/isit50566.2022.9834726,全文定位为传统/神经联合信源信道编码、Polar/LDPC 或 CSI 反馈研究，未把语义、任务效用或意义保持作为实质研究对象；转入相关背景清单
Joint source-channel coding for 6G communications,10.23919/jcc.2022.03.007,全文属于综述、愿景、教程、项目/范式说明或挑战讨论，缺少本次口径要求的独立技术方法与可核验实验；转入背景清单
Joint Source-Channel Polar-Coded Modulation,10.1109/isit50566.2022.9834492,全文定位为传统/神经联合信源信道编码、Polar/LDPC 或 CSI 反馈研究，未把语义、任务效用或意义保持作为实质研究对象；转入相关背景清单
Joint Successive Cancellation List Decoding for the Double Polar Codes,10.1109/lcomm.2022.3179644,全文定位为传统/神经联合信源信道编码、Polar/LDPC 或 CSI 反馈研究，未把语义、任务效用或意义保持作为实质研究对象；转入相关背景清单
SemAudio: Semantic-Aware Streaming Communications for Real-Time Audio Transmission,10.1109/globecom48099.2022.10001043,"存在同团队、同方法家族且作者高度重合的正式期刊扩展版；按既定口径由期刊版取代：SemAudio: Semantic Communication for Audio Streaming Transmission (IEEE TVT, 2025)"
Learned Image Transmission over MIMO Fading Channels,10.1109/pimrc56721.2023.10293784,全文定位为传统/神经联合信源信道编码、Polar/LDPC 或 CSI 反馈研究，未把语义、任务效用或意义保持作为实质研究对象；转入相关背景清单
Rate-Compatible Joint Source-Channel Coding Scheme Based on 5GNR LDPC Codes,10.1109/ictc57116.2023.10154810,全文定位为传统/神经联合信源信道编码、Polar/LDPC 或 CSI 反馈研究，未把语义、任务效用或意义保持作为实质研究对象；转入相关背景清单
Semantic Communication for the Internet of Vehicles: A Multiuser Cooperative Approach,10.1109/mvt.2022.3227723,全文属于综述、愿景、教程、项目/范式说明或挑战讨论，缺少本次口径要求的独立技术方法与可核验实验；转入背景清单
AdaJSCC: Instance-Adaptive Joint Source-Channel Coding for Wireless Image Transmission,10.1109/gcwkshp64532.2024.11100771,全文定位为传统/神经联合信源信道编码、Polar/LDPC 或 CSI 反馈研究，未把语义、任务效用或意义保持作为实质研究对象；转入相关背景清单
Enhanced Joint Source-Channel Polarization Effect Based on Polarizing Matrix Extension,10.1109/lcomm.2024.3385096,全文定位为传统/神经联合信源信道编码、Polar/LDPC 或 CSI 反馈研究，未把语义、任务效用或意义保持作为实质研究对象；转入相关背景清单
Generative AI for Space-Air-Ground Integrated Networks,10.1109/mwc.016.2300547,全文属于综述、愿景、教程、项目/范式说明或挑战讨论，缺少本次口径要求的独立技术方法与可核验实验；转入背景清单
MambaJSCC: Deep Joint Source-Channel Coding with Visual State Space Model,10.1109/globecom52923.2024.10901192,全文定位为传统/神经联合信源信道编码、Polar/LDPC 或 CSI 反馈研究，未把语义、任务效用或意义保持作为实质研究对象；转入相关背景清单
Semantic Communication Empowered NTN for IoT: Benefits and Challenges,10.1109/mnet.2024.3383604,全文属于综述、愿景、教程、项目/范式说明或挑战讨论，缺少本次口径要求的独立技术方法与可核验实验；转入背景清单
SwinJSCC: Taming Swin Transformer for Deep Joint Source-Channel Coding,10.1109/tccn.2024.3424842,全文定位为传统/神经联合信源信道编码、Polar/LDPC 或 CSI 反馈研究，未把语义、任务效用或意义保持作为实质研究对象；转入相关背景清单
ComAI: The Convergence of Communication and Artificial Intelligence,10.1109/comst.2025.3608174,全文属于综述、愿景、教程、项目/范式说明或挑战讨论，缺少本次口径要求的独立技术方法与可核验实验；转入背景清单
Generative AI Meets Wireless Networking: An Interactive Paradigm for Intent-Driven Communications,10.1109/tccn.2025.3567613,全文属于综述、愿景、教程、项目/范式说明或挑战讨论，缺少本次口径要求的独立技术方法与可核验实验；转入背景清单
Learning Joint Source-Channel Coding for Wireless Image Transmission: A Benchmark,10.1109/spawc66079.2025.11143290,全文定位为传统/神经联合信源信道编码、Polar/LDPC 或 CSI 反馈研究，未把语义、任务效用或意义保持作为实质研究对象；转入相关背景清单
Learning to Decode Double Polar Codes for Joint Source-Channel Coding,10.1109/tvt.2025.3619411,全文定位为传统/神经联合信源信道编码、Polar/LDPC 或 CSI 反馈研究，未把语义、任务效用或意义保持作为实质研究对象；转入相关背景清单
Trustworthy Intelligent Networks for Low-Altitude Economy,10.1109/mcom.001.2400692,全文属于综述、愿景、教程、项目/范式说明或挑战讨论，缺少本次口径要求的独立技术方法与可核验实验；转入背景清单
Deep Joint Source-Channel Coding-based Multi-rate CSI Feedback for Time-varying Massive MIMO Channels,10.1109/jiot.2026.3709765,全文定位为传统/神经联合信源信道编码、Polar/LDPC 或 CSI 反馈研究，未把语义、任务效用或意义保持作为实质研究对象；转入相关背景清单
