year,title,decision,reason
2017,Deep variational information bottleneck / classical IB papers,related_or_excluded,方法基础，不在 2021 至今语义通信应用范围内，只作为理论来源。
2022,Goal-oriented communication for edge learning based on the information bottleneck,related_or_excluded,是 goal-oriented/edge learning 与 IB 的重要背景，但不一定以 semantic communication 系统为主体，本轮作为背景引用线索。
2022,Semantic Information Recovery in Wireless Networks,included_core,核心。方法设计直接以 IB/Infomax 为理论基础，不只是 introduction 提及。
2023,Adaptive Information Bottleneck Guided Joint Source and Channel Coding for Image Transmission,included_core,核心。IB 是训练目标和 beta 自适应算法的中心。
2023,Multi-Task-Oriented Broadcast for Edge AI Inference via Information Bottleneck,included_core,核心/先导。IB 是广播特征提取和压缩的核心目标。
2023,Robust Information Bottleneck for Task-Oriented Communication with Digital Modulation,included_core,核心。它是本主题最典型的 RIB 方法论文。
2023,Semantic Communications Based on Adaptive Generative Models and Information Bottleneck,included_core,核心。IB 直接参与生成语义通信系统的 rate-accuracy-delay tradeoff。
2024,Disentangled Information Bottleneck guided Privacy-Protective JSCC for Image Transmission,included_core,核心。DIB 是 public/private 语义分解的训练目标。
2024,Improving Channel Resilience for Task-Oriented Semantic Communications: A Unified Information Bottleneck Approach,included_core,核心。论文的方法主体就是 IB robustness mask。
2024,Privacy-Preserving Task-Oriented Semantic Communications Against Model Inversion Attacks,included_core,核心。IB 不是背景概念，而是隐私语义通信 loss 的主体。
2025,Contrastive Learning and Adversarial Disentanglement for Privacy-Aware Task-Oriented Semantic Communication,included_core,核心但需继续丰富。方法设计明确以 IB minimal sufficient representation 为中心。
2025,Information Bottleneck Guided Joint Source-Channel Coding with HARQ,included_core,核心。IB 直接定义 HARQ 重传训练目标。
2025,Multi-Modal Multi-Task Semantic Communication: A Distributed Information Bottleneck Perspective,included_core,核心。DIB 是方法的理论主体。
2025,Semantic Communication Unlearning via Variational Information Bottleneck,related_or_excluded,检索命中 VIB + semantic communication unlearning；出版源疑似 MDPI/Future Internet，按本项目既有惯例暂不纳入核心，后续若需要可作为相关应用单独核查。
2025,Task-Agnostic Semantic Communications Relying on Information Bottleneck and Federated Meta-Learning,included_core,核心。DMIB 是语义编码原则。
2026,Disentangled Information Bottleneck Guided Multidevice Cooperative Task-Oriented Semantic Communication,included_core,核心。DIB/DisenIB 是整个框架的理论根基。
2026,Joint Source-Channel Coding for Task-Oriented Broadcast Communications: An Information Bottleneck Approach With Rate Splitting,included_core,核心。TWC 完整版把 IB 与广播信息论结构深度结合。
2026,Robust Information Bottleneck Guided Non-Autoregressive Semantic Communication With Synonymous Mapping,included_core,核心。IB 目标、同义后验估计和训练算法全部围绕 RIB 展开。
2026,TOIB: Task-Oriented Orthogonalised Information Bottleneck for Distributed Semantic Communication,included_core,核心。它把 IB 扩展为带条件互信息正交项的多用户目标。
