title,doi,reason
Semantic Communications for Speech Recognition,10.1109/globecom46510.2021.9685250,"存在同团队、同方法家族且作者高度重合的正式期刊扩展版；按既定口径由期刊版取代：Deep Learning Enabled Semantic Communications With Speech Recognition and Synthesis (IEEE TWC, 2023)"
Semantic Communications for Speech Signals,10.1109/icc42927.2021.9500590,"存在同团队、同方法家族且作者高度重合的正式期刊扩展版；按既定口径由期刊版取代：Semantic Communication Systems for Speech Transmission (IEEE JSAC, 2021)"
Toward Wisdom-Evolutionary and Primitive-Concise 6G: A New Paradigm of Semantic Communication Networks,10.1016/j.eng.2021.11.003,全文属于综述、愿景、教程、项目/范式说明或挑战讨论，缺少本次口径要求的独立技术方法与可核验实验；转入背景清单
A Robust Deep Learning Enabled Semantic Communication System for Text,10.1109/globecom48099.2022.10000901,"存在同团队、同方法家族且作者高度重合的正式期刊扩展版；按既定口径由期刊版取代：A Robust Semantic Text Communication System (IEEE TWC, 2024)"
A Unified Multi-Task Semantic Communication System with Domain Adaptation,10.1109/globecom48099.2022.10000850,"存在同团队、同方法家族且作者高度重合的正式期刊扩展版；按既定口径由期刊版取代：A Unified Multi-Task Semantic Communication System for Multimodal Data (IEEE TCOM, 2024)"
A Generalized Semantic Communication System: From Sources to Channels,10.1109/mwc.013.2200553,全文属于综述、愿景、教程、项目/范式说明或挑战讨论，缺少本次口径要求的独立技术方法与可核验实验；转入背景清单
Mem-DeepSC: A Semantic Communication System with Memory,10.1109/icc45041.2023.10279664,"存在同团队、同方法家族且作者高度重合的正式期刊扩展版；按既定口径由期刊版取代：Semantic Communication With Memory (IEEE JSAC, 2023)"
"Multimedia Semantic Communications: Representation, Encoding and Transmission",10.1109/mnet.001.2200468,全文属于综述、愿景、教程、项目/范式说明或挑战讨论，缺少本次口径要求的独立技术方法与可核验实验；转入背景清单
Semantic Communication for the Internet of Vehicles: A Multiuser Cooperative Approach,10.1109/mvt.2022.3227723,全文属于综述、愿景、教程、项目/范式说明或挑战讨论，缺少本次口径要求的独立技术方法与可核验实验；转入背景清单
Semantic-Aware Speech-to-Text Transmission Over MIMO Channels,10.1109/iccworkshops57953.2023.10283658,"存在同团队、同方法家族且作者高度重合的正式期刊扩展版；按既定口径由期刊版取代：Semantic MIMO Systems for Speech-to-Text Transmission (IEEE TWC, 2024)"
AI Empowered Wireless Communications: From Bits to Semantics,10.1109/jproc.2024.3437730,全文属于综述、愿景、教程、项目/范式说明或挑战讨论，缺少本次口径要求的独立技术方法与可核验实验；转入背景清单
Computing Networks Enabled Semantic Communications,10.1109/mnet.2024.3352031,全文属于综述、愿景、教程、项目/范式说明或挑战讨论，缺少本次口径要求的独立技术方法与可核验实验；转入背景清单
Hybrid Digital-Analog Joint Semantic-Channel Coding for Image Transmission,10.1109/gcwkshp64532.2024.11101089,"存在同团队、同方法家族且作者高度重合的正式期刊扩展版；按既定口径由期刊版取代：Hybrid Digital-Analog Semantic Communications (IEEE JSAC, 2025)"
Synchronous Semantic Communications for Video and Speech,10.1109/icc51166.2024.10622487,"存在同团队、同方法家族且作者高度重合的正式期刊扩展版；按既定口径由期刊版取代：Synchronous Multi-Modal Semantic Communication System With Packet-Level Coding (IEEE TWC, 2025)"
Toward Intelligent Communications: Large Model Empowered Semantic Communications,10.1109/mcom.001.2300807,全文属于综述、愿景、教程、项目/范式说明或挑战讨论，缺少本次口径要求的独立技术方法与可核验实验；转入背景清单
"Balancing Security and Efficiency in GAI-Driven Semantic Communication: Challenges, Solutions, and Future Paths",10.1109/mnet.2025.3578783,全文属于综述、愿景、教程、项目/范式说明或挑战讨论，缺少本次口径要求的独立技术方法与可核验实验；转入背景清单
On the Role of Semantic Communication in Non-Terrestrial Networks,10.1109/mcom.002.2400595,全文属于综述、愿景、教程、项目/范式说明或挑战讨论，缺少本次口径要求的独立技术方法与可核验实验；转入背景清单
Semantic Communication Enabled Holographic Video Processing and Transmission,10.1109/mcom.001.2500333,全文属于综述、愿景、教程、项目/范式说明或挑战讨论，缺少本次口径要求的独立技术方法与可核验实验；转入背景清单
