year,title,source,venue,task,ib_usage,pdf
2022,Semantic Information Recovery in Wireless Networks,arXiv,arXiv:2204.13366 / IEEE-style manuscript,语义信息恢复；SINFONY 分布式多点图像分类/语义恢复。,"$$\max_\theta I_\theta(Z;Y)\quad \text{s.t.}\quad I_\theta(S;Y)\le I_C,$$ 或 Lagrangian 形式 $$\max_\theta I_\theta(Z;Y)-\beta I_\theta(S;Y).$$ 实现时用 $$\mathcal L_{CE}=-\mathbb E[\log q_\phi(z|y)]$$ 作为 $-I(Z;Y)$ 的可训练上界/替代。",2022_Xu_Semantic_Communication_Information_Bottleneck_View.pdf
2023,Adaptive Information Bottleneck Guided Joint Source and Channel Coding for Image Transmission,arXiv,IEEE Transactions on Wireless Communications / arXiv:2203.06492,图像 JSCC 重建，同时降低不必要传输信息。,"论文定义 $$IB_\beta(X,Y,\hat Y)=I(X;\hat Y)-\beta I(X;Y).$$ 训练时最大化其可微下界，等价最小化 $$\mathcal L=-\widehat I_{VL}(X;\hat Y)+\beta\widehat I_{CLUB}(X;Y),$$ 其中 $\widehat I_{VL}$ 是接收重建相关的 variational lower bound，$\widehat I_{CLUB}$ 是发送码字互信息的 CLUB upper bound。",2023_Sun_Adaptive_Information_Bottleneck_JSCC_Image_Transmission.pdf
2023,Multi-Task-Oriented Broadcast for Edge AI Inference via Information Bottleneck,IEEE,IEEE GLOBECOM 2023,多用户广播信道上的多任务 edge AI inference。,"Phase I: $$\mathcal L_{IB,k}=H(Y_k|U_k)+\gamma I(X;U_k)$$，变分为 CE + KL。Phase II: $$\mathcal L_{DIB}=I(Z;U_{1:K})-\mu\sum_k I(U_k;\hat Z_k),$$ 用 VDIB 近似优化 broadcast robust representation。",Multi-Task-Oriented_Broadcast_for_Edge_AI_Inference_via_Information_Bottleneck.pdf
2023,Robust Information Bottleneck for Task-Oriented Communication with Digital Modulation,arXiv,"IEEE Journal on Selected Areas in Communications, 2023",任务导向通信/分类，兼容数字调制。,$$\max I(Y;\hat Z)+\beta\left[I(Z;\hat Z)-I(X;\hat Z)\right].$$ $I(Y;\hat Z)$ 保证任务标签可推断，$I(Z;\hat Z)$ 保证传输鲁棒/保真，$I(X;\hat Z)$ 惩罚接收表示携带过多输入无关信息。,2023_Xu_Robust_Information_Bottleneck_Task_Oriented_Communication_Digital_Modulation.pdf
2023,Semantic Communications Based on Adaptive Generative Models and Information Bottleneck,arXiv,arXiv:2309.02387 / IEEE Communications Magazine style,基于生成模型的图像/语义重建与分类任务通信。,"论文给出的改造 IB 形式是 $$\min I(X;T)+\beta\,\mathrm{MSE}(Y,\hat Y),$$ 其中 $I(X;T)$ 表示 latent 表示复杂度/通信开销，MSE 表示语义目标或重建失真。",2023_Xu_Semantic_Communications_Adaptive_Generative_Models_IB.pdf
2024,Disentangled Information Bottleneck guided Privacy-Protective JSCC for Image Transmission,arXiv,arXiv:2309.10263,隐私保护图像 JSCC；把 public/private information disentangle。,"DIB 目标包含三类互信息：最大化 private subcodeword 与 private label 的 $I(Y^s;S)$，最小化 public/private subcodewords 之间的 $I(Y^t;Y^s)$，并最小化重建失真 $d(X,\hat X)$。论文再用变分近似和 density-ratio trick 得到可微 loss。",2024_Sun_Disentangled_Information_Bottleneck_Privacy_Protective_JSCC.pdf
2024,Improving Channel Resilience for Task-Oriented Semantic Communications: A Unified Information Bottleneck Approach,arXiv,arXiv:2405.00135 / IEEE Communications Letters under review,任务导向语义通信中的 feature-level channel resilience；案例是 OFDM/subchannel allocation。,"基础目标 $$\min \mathcal L(\phi,\theta)=-I(\hat Z;Y)+\beta I(\hat Z;X).$$ 鲁棒性估计中引入人工噪声得到 $$\min \mathcal L(\sigma)=-I(\tilde Z;Y|\phi,\theta)+\beta I(\tilde Z;X|\phi,\theta).$$",2024_Qin_Improving_Channel_Resilience_Unified_Information_Bottleneck.pdf
2024,Privacy-Preserving Task-Oriented Semantic Communications Against Model Inversion Attacks,arXiv,arXiv:2312.03252 / IEEE Transactions-style manuscript,隐私保护任务导向语义通信，抵抗 model inversion attack。,"IB 部分为 $$\mathcal L_{IB}=-I(\hat Z;Y)+\beta I(\hat Z;S).$$ 变分上界可写为 $$\mathbb E[-\log q_\phi(y|\hat z)]+\beta\,\mathrm{KL}(p_\theta(\hat z|s)\|q(\hat z)).$$ 总目标再结合 adversarial reconstruction/privacy loss，IBAL-D 用信道噪声项调整隐私权重。",2024_Qin_Privacy_Preserving_Task_Oriented_Semantic_Communications_IBAL.pdf
2025,Contrastive Learning and Adversarial Disentanglement for Privacy-Aware Task-Oriented Semantic Communication,arXiv,arXiv:2410.22784,6G-IoT privacy-aware task-oriented semantic communication。,IB 思想对应 $$\max I(Z;Y)-\beta I(Z;X_{private/noise})$$。CLAD 的实现把 $I(Z;Y)$ 替换为 supervised/contrastive task loss，把最小性替换为 adversarial disentanglement loss 和 IRI 监控。,2025_Erak_CLAD_Privacy_Aware_Task_Oriented_Semantic_Communication.pdf
2025,Information Bottleneck Guided Joint Source-Channel Coding with HARQ,IEEE,IEEE WCNC 2025,图像 JSCC + HARQ 重传；压缩 retransmission redundancy。,"论文设计 HARQ-IBJSC 目标，核心思想为最大化 $I(X;\hat Z_1,\hat Z_2)$ 同时惩罚重传与已有接收信息的冗余互信息；再推导可微 lower bound 作为训练 loss。beta=0 时退化为类似 HARQ-JSCC 的 MSE 目标。",Information_Bottleneck_Guided_Joint_Source-Channel_Coding_with_HARQ.pdf
2025,Multi-Modal Multi-Task Semantic Communication: A Distributed Information Bottleneck Perspective,arXiv,arXiv:2510.04000,多模态多任务分布式语义通信；任务感知 modality selection。,"标准 DIB 类目标含 $$H(Y_t|Z_{m,t})+I(X_m;Z_{m,t}).$$ TADIB 对 task t 和 modality m 计算 task-modality score，并在 pTADIB 中把 selection variable 的期望加入目标；经验变分目标用 CE/MSE 估计 $H(Y|Z)$，用 KL 估计 $I(X;Z)$。",2025_Nguyen_Multi_Modal_Multi_Task_Semantic_Communication_DIB.pdf
2025,Task-Agnostic Semantic Communications Relying on Information Bottleneck and Federated Meta-Learning,arXiv,arXiv:2504.21723 / IEEE record 11264466,任务无关多模态语义通信；快速适配多任务。,"传统 IB：$$\mathcal L_{IB,k}=\zeta I(X_k;Z_k)-I(Y_k;Z_k)\equiv \zeta I(X_k;Z_k)+H(Y_k|Z_k).$$ U-DMIB 对每个 modality 求和；S-DMIB 用 fused representation $S_k$：$$\mathcal L_{S-DMIB}=\zeta I(Z_k;S_k)+H(Y_k|S_k).$$ 变分形式为 KL 到 $\mathcal N(0,I)$ 加 CE/MAE。",2025_Yuan_Task_Agnostic_Semantic_Communications_IB_Meta_Learning.pdf
