year,title,status,source,reason,link
2021,Semantic Communication With Adaptive Universal Transformer,included_core,IEEE / arXiv,语义复杂度与信道条件共同驱动的 adaptive circulation,https://arxiv.org/abs/2108.09119
2022,Adaptive Bit Rate Control in Semantic Communication With Incremental Knowledge-Based HARQ,included_core,IEEE / arXiv,句子级 bit rate 与增量重传次数,https://arxiv.org/abs/2203.06634
2022,Deep Joint Source-Channel Coding for Wireless Image Transmission With Adaptive Rate Control,included_core,IEEE / arXiv,每幅图像的 channel use / compression ratio,https://arxiv.org/abs/2110.04456
2022,Nonlinear Transform Source-Channel Coding for Semantic Communications,included_core,IEEE / arXiv,基于 latent 熵的 patch-wise variable-length / adaptive bandwidth,https://arxiv.org/abs/2112.10961
2022,Channel-Adaptive Wireless Image Transmission With OFDM,included_core,IEEE / arXiv,子载波 CSI 与噪声条件下的特征映射和功率/重要性分配,https://arxiv.org/abs/2205.02417
2023,WITT: A Wireless Image Transmission Transformer for Semantic Communications,included_core,IEEE / arXiv,SNR / CSI 条件下的 spatial modulation 与 latent scaling,https://arxiv.org/abs/2211.00937
2023,Semantic Communications With Variable-Length Coding for Extended Reality,included_core,IEEE / arXiv,语义内容与噪声容忍度驱动的 variable-length semantic-channel coding,https://arxiv.org/abs/2302.08645
2023,Toward Adaptive Semantic Communications: Efficient Data Transmission via Online Learned Nonlinear Transform Source-Channel Coding,included_core,IEEE / arXiv,面向单个源样本和当前信道的在线自适应,https://arxiv.org/abs/2211.04339
2023,Improved Nonlinear Transform Source-Channel Coding to Catalyze Semantic Communications,included_core,IEEE / arXiv,contextual entropy、rate/channel response network 与 latent feature editing,https://arxiv.org/abs/2303.14637
2023,DeepJSCC-l++: Robust and Bandwidth-Adaptive Wireless Image Transmission,included_core,IEEE / arXiv,目标 bandwidth ratio 与 SNR 作为 side information,https://arxiv.org/abs/2305.13161
2023,Deep Joint Source-Channel Coding for Wireless Image Transmission With Entropy-Aware Adaptive Rate Control,included_core,IEEE / arXiv,feature-map entropy 与 SNR 驱动的二级 pruning,https://arxiv.org/abs/2306.02825
2023,Predictive and Adaptive Deep Coding for Wireless Image Transmission in Semantic Communication,included_core,IEEE,目标质量约束下的 compression ratio 选择,https://ieeexplore.ieee.org/document/10015684
2024,SCAN: Semantic Communication With Adaptive Channel Feedback,included_core,IEEE / arXiv,每幅图像的 channel feedback overhead,https://arxiv.org/abs/2306.15534
2024,Deep Joint Source-Channel Coding for Adaptive Image Transmission Over MIMO Channels,included_core,IEEE / arXiv,MIMO channel matrix、SNR、天线数驱动的 feature mapping/power allocation,https://arxiv.org/abs/2309.00470
2024,Rate-Adaptive Coding Mechanism for Semantic Communications With Multi-Modal Data,included_core,IEEE / arXiv,模态重要性与任务敏感度驱动的 rate-adaptive coding / UEP,https://arxiv.org/abs/2305.10773
2025,Rate-Distortion-Perception Controllable Joint Source-Channel Coding for High-Fidelity Generative Semantic Communications,included_core,IEEE / arXiv,rate-distortion-perception 三目标与 ROI/content 控制,https://arxiv.org/abs/2408.14127
