year,tier,title,doi,task_type,digitalization_class,channel_handling_class,strict_digital,datasets,baselines,metrics,snr_conditions,rate_conditions,discrete_error_judgment,limitations
2023,related,Extreme Underwater Image Compression Using Physical Priors,10.1109/tcsvt.2022.3218791,极低码率水下图像传输/压缩(人看全图、重点看前景),数字压缩 bitstream 或量化 feature；无线接口未纳入研究,类别 1：数字压缩后默认可靠传输/存储,"边界相关:有数字 bitstream,但没有无线信道模型",SUIM；EUVP；UFO；UIEBD,JPEG2000；BPG；VVC-intra；Mentzer 等生成式压缩及水下图像压缩方法,bpp；PSNR；SSIM；LPIPS；FID；DISTS；前景 PSNR；主观排序,,,"没有处理 bit/index 跳变。算术码任意 bit 错误可能失同步,论文未讨论。","把信道等价为容量预算,距离无线 JSCC 仍缺 packetization、FEC、误码/丢包和端到端信道训练。"
2023,core,Neuron-Based Spiking Transmission and Reasoning Network for Robust Image-Text Retrieval,10.1109/tcsvt.2022.3233042,无线图文检索(image↔text retrieval),显式数字语义表示：bit、离散 token 或码本 index,类别 4：离散 bit/index/packet error 被显式建模或联合训练,是:真正的二进制语义接口并显式建模 bit flip,"MSCOCO；Flickr30K,并利用预训练图文数据",SCAN；VSRN；UNITER；ViSTA 等检索模型；连续 CSTRN；5-8 bit 量化 + 卷积码 + Viterbi,R@1；R@5；R@10；Rsum；传输带宽；不同 BER 下鲁棒性,,,明确解决 bit flip。无噪训练可稳定到 BER≈0.1;含噪训练在 BER=0.2 仍保持较强 Rsum。没有 VQ index 的几何跳变问题。,"BSC 是无记忆抽象,未覆盖调制软信息、packetization、同步/突发结构;“5-bit bandwidth”与完整无线帧开销仍需工程化。"
2023,core,NOMA-Based Uncoded Video Transmission With Optimization of Joint Resource Allocation,10.1109/tcsvt.2022.3223954,多用户无线视频组播,连续神经 JSCC latent / 实复信道符号,类别 3：连续语义变量直接经过有噪声信道并端到端恢复,是连续域 JSCC;不是离散数字语义通信,"Xiph:Into Tree；Kristen and Sara；Johnny；1280×720；30 fps,GOP=4",单用户；多用户 SoftCast；OMA；既有 NOMA-UVT 资源分配,总 MSE；各用户 MSE；PSNR；优化收敛与公平性,,,没有 VQ index/bit error;其优势恰是连续误差不会触发数字链路 cliff effect。,依赖线性源模型、较准确方差和 CSI;没有数字调制、码率/包开销与现代学习式语义特征。
2023,core,Rethinking Semantic Image Compression: Scalable Representation With Cross-Modality Transfer,10.1109/tcsvt.2023.3241225,可伸缩语义图像压缩与按需重建,数字压缩 bitstream 或量化 feature；无线接口未纳入研究,类别 1：数字压缩后默认可靠传输/存储,是数字语义压缩;不是无线 JSCC,"MS COCO,256×256 图像",JPEG；Ballé；学习式压缩；VVC；VTM；生成式低码率方法,bpp；LPIPS；DISTS；FID；IS；PSNR；BD-rate,,,没有处理 bit/index error;任一层失效如何影响后续条件生成没有评估。,"文本生成可能遗漏对象,分层依赖会放大基础层错误;不能把“semantic bitstream”直接等同于抗噪语义通信。"
2023,related,Sketch Assisted Face Image Coding for Human and Machine Vision: A Joint Training Approach,10.1109/tcsvt.2023.3262251,人机协同的人脸图像极低码率编码,显式数字语义表示：bit、离散 token 或码本 index,类别 4：离散 bit/index/packet error 被显式建模或联合训练,"边界相关:任务感知压缩,无信道",LFW；VGGFace2,JPEG；JPEG2000；WebP；Ballé learned codec；BPG 等,bpp；PSNR；SSIM；LPIPS；FID；face verification；recognition accuracy,,0.03 bpp；0.1 bpp；0.3 bpp；0.015 bpp,是。论文把离散错误/丢失放进训练或恢复流程，因而正面处理了数字变量受损后的语义恢复。,"只覆盖受控人脸域;生成重建可能改变非身份细节,且没有无线鲁棒性。"
2023,related,Unified Architecture Adaptation for Compressed Domain Semantic Inference,10.1109/tcsvt.2023.3240391,压缩域分类/分割/检测,数字压缩 bitstream 或量化 feature；无线接口未纳入研究,类别 1：数字压缩后默认可靠传输/存储,"边界相关:传数字码流,但研究接收端计算而非通信信道",ImageNet；Cityscapes；COCO；DAVIS(按任务),pixel-domain ResNet；VGG；DeepLab 等；NLAIC；Cheng2020 等 learned image codecs；既有 compressed-domain 方法,Top-1；mIoU；mAP；bpp；FLOPs；时延与率准确率曲线,,0.595 bpp；9.01 Bpp,"没有处理 entropy bit error,单 bit 失同步风险被排除。","率受外部 codec 约束,entropy decoder 仍是前置依赖;不属于 JSCC。"
2024,related,End-to-End Learnable Multi-Scale Feature Compression for VCM,10.1109/tcsvt.2023.3302858,VCM 多尺度特征传输(检测/实例分割),数字压缩 bitstream 或量化 feature；无线接口未纳入研究,类别 1：数字压缩后默认可靠传输/存储,"边界相关:机器视觉数字压缩,无信道","Open Images；MPEG-VCM CTC,Faster；Mask R-CNN 任务",MPEG-VCM VTM feature anchor；standard-codec S-MSFC；layer-wise learned codecs,feature bpp；bitrate；mAP；BD-rate；复杂度,,,未处理 bit/packet error。,"只服务机器,不重建人眼图像;与无线带宽/BER 的关系仍停留在码率代理。"
2024,related,MPAI-EEV: Standardization Efforts of Artificial Intelligence Based End-to-End Video Coding,10.1109/tcsvt.2023.3310188,AI 端到端视频编码标准化,上层理论/资源变量；论文不单独定义可发送语义格式,类别 5：沿用底层链路或抽象速率—效用模型,"边界相关:端到端视频压缩,不是无线 JSCC",Vimeo-90K 训练；HEVC&CTC；UVG；无人机序列测试,HEVC；HM；VVC；VTM；多个 learned video codec 版本,PSNR；MS-SSIM；VMAF；BD-rate；参数量；MACs；FPS,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,"综述/标准进展论文,不是一种语义通信新方案;域外泛化、实时复杂度与错误恢复仍未解决。"
2024,related,Quality of Experience Oriented Cross-Layer Optimization for Real-Time XR Video Transmission,10.1109/tcsvt.2024.3376999,实时 XR 无线视频传输与 QoE 优化,上层理论/资源变量；论文不单独定义可发送语义格式,类别 5：沿用底层链路或抽象速率—效用模型,"边界相关:网络传输相关,但非语义编码/JSCC",真实；仿真 XR 视频 trace 与无线资源场景,固定；启发式码率；PPO；DQN 等资源分配基线,QoE；卡顿；时延；码率；帧质量；收敛与资源利用率,,,未正面处理。系统模型不足以追踪残余 bit/index/packet error 到最终语义质量。,对内容语义只通过 QoE/帧信息间接建模;不能作为 DeepJSCC 证据。
2024,related,Rate-Distortion Optimized Cross Modal Compression With Multiple Domains,10.1109/tcsvt.2024.3364153,跨模态极低码率图像压缩,数字压缩 bitstream 或量化 feature；无线接口未纳入研究,类别 1：数字压缩后默认可靠传输/存储,"边界相关:语义数字压缩,无信道",Visual Genome；MSCOCO；Open Images(检测与生成评价),caption-only CMC；VR-CMC；MDet-CMC；其他 text；edge cross-modal compression,SPICE；CLIPScore；FID；IPD；mAP；bpp；编解码时间,,,未评估 token/bit 删除或替换。,rate estimator 与生成器先验决定结果;语义遗漏和幻觉无法由物理信道分析捕捉。
2024,core,Semantic Face Compression for Metaverse: A Compact 3D Descriptor Based Approach,10.1109/tcsvt.2024.3391612,元宇宙虚拟人脸通信与表情/身份任务,数字压缩 bitstream 或量化 feature；无线接口未纳入研究,类别 1：数字压缩后默认可靠传输/存储,是数字任务导向通信;无信道错误模型,VoxCeleb；AffectNet-8；CASIA-WebFace；LFW,VVC；VTM 像素编码；FOMM；人脸生成与 descriptor 压缩方案,码率；expression recognition accuracy；face verification；FID；重建质量,,,算术码 error propagation 与 descriptor 字段不等重要性均未处理。,强依赖 3DMM 和人脸域;没有隐私、安全和无线错误评估。
2024,core,Toward On-Demand Transmission: Joint Feature and Image Coding With Reversible Neural Networks,10.1109/tcsvt.2024.3395275,按需图像传输:caption/detection/segmentation/人眼重建,显式数字语义表示：bit、离散 token 或码本 index,类别 1：形成数字表示，但物理链路按可靠 bitstream 抽象,是数字任务导向编码;无信道错误模型,COCO 2017；Kodak,Choi scalable codec；learned image codecs；VVC；VTM；不同 vision backbone,BLEU；CIDEr 等 caption 指标；bbox；mask AP；PSNR；bpp；FLOPs；时延,,0.291 bpp；0.339 bpp,没有考虑基础节点 packet 丢失导致所有下游任务失效。,"树根是单点依赖;任务集合预先训练,动态新任务和无线错误仍是空白。"
