title,year,decision,reason,source
DeepJSCC-Q: Channel Input Constrained Deep Joint Source-Channel Coding,2022,related_not_core,使用有限 channel input alphabet，是从 analog DeepJSCC 走向数字星座的重要边界论文；但核心仍是 channel-input constrained JSCC，不是语义 feature/token/codebook 数字化。,search/citation
Learning Based Joint Coding-Modulation for Digital Semantic Communication Systems,2022,included_core,核心,IEEE
Robust Information Bottleneck for Task-Oriented Communication With Digital Modulation,2023,included_core,核心,IEEE
Robust Semantic Communications With Masked VQ-VAE Enabled Codebook,2023,included_core,核心,IEEE
Vector Quantized Semantic Communication System,2023,included_core,核心,IEEE
A Unified Multi-Task Semantic Communication System for Multimodal Data,2024,related_not_core,有 unified codebook 和 indices，覆盖多模态多任务；但重点是多任务统一语义系统，信道侧离散误码分析不是主线。,search/citation
Activation Map-based Vector Quantization for 360-degree Image Semantic Communication,2024,included_core,核心,arXiv
Adaptive Wireless Image Semantic Transmission and Over-The-Air Testing,2024,screened_or_future_check,Semantic Scholar keyword hit; not all are strict digital SemCom,OFDM digital semantic communication
D2-JSCC: Digital Deep Joint Source-channel Coding for Semantic Communications,2024,included_core,核心,IEEE
Integrating Pre-Trained Language Model with Physical Layer Communications,2024,related_not_core,VQ-VAE 与 bit error/noise 结合，面向 on-device AI/LM 通信；主题更宽，未以 Digital Semantic Communications 为论文主轴。,search/citation
Joint Coding-Modulation for Digital Semantic Communications via Variational Autoencoder,2024,included_core,核心,IEEE
Joint Source-Channel Coding for Robust Digital Semantic Communications,2024,included_core,核心,IEEE
OFDM-Based Digital Semantic Communication With Importance Awareness,2024,included_core,核心,IEEE
Rate-Adaptive Coding Mechanism for Semantic Communications With Multi-Modal Data,2024,related_not_core,含传统 channel encoder/decoder 与 UEP 思想，适合作为系统参照；但不是聚焦 VQ/token/codebook 数字化语义变量。,search/citation
VQ-DeepVSC: A Dual-Stage Vector Quantization Framework for Video Semantic Communication,2024,included_core,核心,arXiv
A Hierarchical Error Protection Framework for Learnable Residual Vector Quantization in Digital Semantic Communication Systems,2025,included_core,核心,IEEE
A Theoretically-Grounded Codebook for Digital Semantic Communications,2025,included_core,核心,arXiv
