arnumber,title,year,venue,source_type,priority,screening_status,notes
10065571,Vector Quantized Semantic Communication System,2023,IEEE Wireless Communications Letters,IEEE,core,candidate,VQ-DeepSC; image transmission; multi-scale VQ semantic embeddings
10101778,Robust Semantic Communications With Masked VQ-VAE Enabled Codebook,2023,IEEE Transactions on Wireless Communications,IEEE,core,candidate,Masked VQ-VAE codebook; semantic noise robustness
10039447,Learning Based Joint Coding-Modulation for Digital Semantic Communication Systems,2022,WCSP,IEEE,core,candidate,Early digital JCM conference version
10495330,Joint Coding-Modulation for Digital Semantic Communications via Variational Autoencoder,2024,IEEE Transactions on Communications,IEEE,core,candidate,VAE-based digital JCM; journal version
10521803,OFDM-Based Digital Semantic Communication With Importance Awareness,2024,IEEE Transactions on Communications,IEEE,core,candidate,OFDM digital semantic communication; importance-aware resource allocation
10772628,Digital-SC: Digital Semantic Communication With Adaptive Network Split and Learned Non-Linear Quantization,2024,IEEE Transactions on Cognitive Communications and Networking,IEEE,core,candidate,Adaptive network split; learned non-linear quantization
10778620,From Analog to Digital: Multi-Order Digital Joint Coding-Modulation for Semantic Communication,2024,IEEE Transactions on Communications,IEEE,core,candidate,Multi-order digital JCM; modulation order adaptation
10960697,Universal Joint Source-Channel Coding for Modulation-Agnostic Semantic Communication,2025,IEEE Journal on Selected Areas in Communications,IEEE,core,candidate,uJSCC; VQ codebooks; modulation-agnostic digital SemCom
10327757,Rate-Adaptive Coding Mechanism for Semantic Communications With Multi-Modal Data,2024,IEEE Transactions on Communications,IEEE,core,candidate,Semantic importance and UEP with conventional channel coding
10817394,D2-JSCC: Digital Deep Joint Source-channel Coding for Semantic Communications,2025,IEEE Conference Publication,IEEE,core,candidate,Digital deep JSCC for semantic communications
10901466,Joint Source-Channel Coding for Robust Digital Semantic Communications,2024,IEEE GLOBECOM,IEEE,core,candidate,Robust digital semantic JSCC; likely explicit channel-error handling
10978821,MaskDSC: Resilient Digital Semantic Communication with Masked Transformer and Unequal Error Protection,2025,IEEE WCNC,IEEE,core,candidate,Masked transformer plus UEP
11154002,Generative AI-Based Vector Quantized End-to-End Semantic Communication System for Wireless Image Transmission,2025,IEEE Transactions on Machine Learning in Communications and Networking,IEEE,core,candidate,Generative VQ end-to-end image SemCom
11202534,SQ-GAN: Semantic Image Communications Using Masked Vector Quantization,2025,IEEE Transactions on Cognitive Communications and Networking,IEEE,core,candidate,Masked VQ for semantic image communication
11299506,Conditional Entropy-Constrained Multi-Stage Vector Quantization for Semantic Communication,2026,IEEE Wireless Communications Letters,IEEE,core,candidate,Conditional entropy constrained MSVQ; rate adaptation
10431795,A Unified Multi-Task Semantic Communication System for Multimodal Data,2024,IEEE Transactions on Communications,IEEE,related,candidate,Multimodal semantic communication; verify digitalization depth
9838671,DeepJSCC-Q: Channel Input Constrained Deep Joint Source-Channel Coding,2022,IEEE ICC,IEEE,related,candidate,Fixed channel input alphabet; relevant digital JSCC boundary case
,Channel Coding for Unequal Error Protection in Digital Semantic Communication,2025,arXiv,arXiv,core,candidate,arXiv:2508.03381; submitted/open; bit-level UEP
,Channel-Aware Vector Quantization for Robust Semantic Communication on Discrete Channels,2025,arXiv,arXiv,core,candidate,arXiv:2510.18604; discrete channel-aware VQ
,VQ-DSC-R: Robust Vector Quantized-Enabled Digital Semantic Communication,2026,arXiv,arXiv,core,candidate,arXiv:2602.15045; robust VQ digital SemCom
